x1,x2,x3,x4,x5,loss
22686.5,297,149.25,2029.85,0,0
190055,42,284.75,3889.5,2,0
29733.5,233,269.25,2108.15,0,1
185667.5,44,211.5,3840.75,3,0
33648.5,213,353.5,2151.65,0,1
93845,96,498.25,2820.5,0,1
195446,41,445.5,3949.4,1,0
47171,178,148.75,2301.9,0,0
294144.5,23,524,5046.05,2,1
333915.5,19,280.75,5487.95,4,0
72870.5,124,249.75,2587.45,1,0
49412,171,94.75,2326.8,1,0
531299,4,501.75,7681.1,4,0
473267,7,518.5,7036.3,3,1
261744.5,28,527.5,4686.05,1,0
730563.5,0,566.25,9895.15,5,0
112065.5,79,103.25,3022.95,4,0
684402.5,1,533.5,9382.25,5,0
67551.5,131,276,2528.35,0,1
187661,43,450.25,3862.9,1,0
23568.5,294,198.25,2039.65,0,1
38202.5,204,99,2202.25,0,0
21813.5,327,100.75,2020.15,0,1
335459,18,299.5,5505.1,4,0
287327,25,298,4970.3,3,0
157754,53,276.5,3530.6,2,0
447423.5,9,496.75,6749.15,3,1
22718,295,151,2030.2,0,1
593250.5,2,451.25,8369.45,5,0
118379,74,323.5,3093.1,1,1
629025.5,2,481.75,8766.95,5,0
36348.5,206,477.5,2181.65,0,0
188700.5,42,330.75,3874.45,2,0
21818,326,101,2020.2,0,0
24072.5,292,226.25,2045.25,0,0
672653,1,499.5,9251.7,5,0
48521,169,348.5,2316.9,0,1
339347,18,374,5548.3,3,0
339432.5,18,531.75,5549.25,2,1
119486,72,489.25,3105.4,0,1
62813,142,247.75,2475.7,0,0
458511.5,8,346,6872.35,5,0
57642.5,151,103.75,2418.25,1,0
457530.5,8,399.25,6861.45,4,0
108330.5,83,381,2981.45,1,0
371603,15,422.5,5906.7,3,0
28730,233,246.25,2097,0,0
32973.5,215,403.25,2144.15,0,1
399602,12,398.75,6217.8,4,0
402869,12,320.75,6254.1,5,0
365487.5,16,451.25,5838.75,3,0
148376,56,495.5,3426.4,1,1
177738.5,46,347.5,3752.65,1,0
76997,119,403.25,2633.3,0,1
421071.5,11,374.25,6456.35,4,0
177729.5,46,477.25,3752.55,1,1
588008,3,498.25,8311.2,4,0
656871.5,1,542.25,9076.35,5,0
100487,91,124.75,2894.3,2,0
726833,0,537.5,9853.7,5,0
443639,9,502.5,6707.1,3,0
510563,5,449.5,7450.7,4,0
286580,25,210.5,4962,5,0
106139,84,272,2957.1,1,0
97152.5,94,472,2857.25,0,1
41969,186,376.5,2244.1,0,0
348531.5,17,394.5,5650.35,3,0
244748,31,396,4497.2,2,0
103781,87,100.75,2930.9,3,0
99861.5,91,399.25,2887.35,0,0
24414.5,278,245.25,2049.05,0,0
118158.5,74,102,3090.65,4,0
658910,1,558,9099,4,0
148214,56,121.25,3424.6,4,0
35966,206,322.5,2177.4,0,0
572555,3,552.5,8139.5,4,0
261996.5,28,278.25,4688.85,3,0
63402.5,140,273.25,2482.25,0,0
210017,38,373.75,4111.3,2,0
129494,67,129.5,3216.6,3,0
27141.5,255,396.75,2079.35,0,1
70881.5,126,252.75,2565.35,0,0
64721,140,375.75,2496.9,0,1
409475,12,519,6327.5,3,0
107601.5,82,100.75,2973.35,3,0
102687.5,88,496.5,2918.75,0,0
219390.5,36,310.75,4215.45,2,0
115130,75,103.25,3057,3,0
103439,88,99.75,2927.1,3,0
110832.5,78,168.75,3009.25,2,0
251318,30,410.25,4570.2,2,0
26723,251,373.5,2074.7,0,0
534282.5,4,420,7714.25,5,0
659630,1,555.25,9107,5,0
691314.5,1,504.5,9459.05,5,0
103461.5,86,394.75,2927.35,0,1
447383,9,334.25,6748.7,5,0
30246.5,233,105.25,2113.85,0,1
119648,72,105,3107.2,4,0
246305,31,492.5,4514.5,1,1
21818,317,101,2020.2,0,0
21750.5,320,97.25,2019.45,0,0
344504,18,475,5605.6,2,0
292452.5,24,227.75,5027.25,5,0
705066.5,0,550,9611.85,5,1
29018,232,121.5,2100.2,0,0
677274.5,1,520.75,9303.05,5,0
103488.5,87,150.75,2927.65,2,0
372917,15,471.75,5921.3,3,0
142692.5,59,97,3363.25,5,0
491501,6,483.75,7238.9,4,1
293802.5,23,289.75,5042.25,4,0
375869,14,458.25,5954.1,3,0
278133.5,26,382.5,4868.15,2,1
328115,19,273,5423.5,4,0
42356,192,449.25,2248.4,0,0
121371.5,73,155.25,3126.35,2,0
115818.5,75,501.25,3064.65,0,1
95163.5,95,103.25,2835.15,3,0
213644,37,426,4151.6,2,0
516390.5,5,499,7515.45,4,0
30147.5,233,103.5,2112.75,0,0
40659.5,194,372,2229.55,0,1
51531.5,168,253.5,2350.35,0,0
25661,276,104.25,2062.9,0,0
292488.5,24,444.75,5027.65,2,0
212195,38,390.25,4135.5,2,1
175155.5,47,117.75,3723.95,5,0
21777.5,345,98.75,2019.75,0,0
378681.5,14,282.25,5985.35,5,0
129408.5,67,429.75,3215.65,1,0
155238.5,53,293,3502.65,1,1
313409,21,252.75,5260.1,5,0
23190.5,294,177.25,2035.45,0,1
